Behaviour,steps,green,red,yellow,other-agent-red
1,2.0128586636920165,0.5871831060240069,0.6250887936925439,0.4356879617340836,0.6250887936925439
2,1.8133946068079072,0.5540974643508119,0.6738664556126838,0.49354229808599015,0.6738664556126838
3,1.771525895943946,0.5270445901439466,0.5094938664989014,0.46834175555890734,0.5094938664989014
4,2.0329643381033566,0.6016510616628213,0.12547509713086488,0.5408733678043316,0.1876592656918379
