Behaviour,steps,green,red,yellow,other-agent-red
1,14.416,2.532,1.18,1.724,1.82
2,13.276,2.516,0.928,1.632,2.072
3,13.896,2.4,0.328,1.628,2.672
4,13.224,2.38,0.088,1.6,2.716
