Behaviour,steps,green,red,yellow,other-agent-red
1,3.3458846363854193,0.6395123141894927,0.6352952069707429,0.4978192443045958,0.6352952069707429
2,2.564336951338493,0.6210829252201353,0.717506794392917,0.522088115168312,0.717506794392917
3,3.278594820956074,0.681175454637055,0.5257527936207287,0.5671119818871764,0.5257527936207288
4,3.163198381385525,0.6660330322138686,0.28329489935401186,0.5656854249492368,0.4683417555589073
