Behaviour,steps,green,red,yellow,other-agent-red
1,12.748,2.556,1.404,1.768,1.596
2,11.848,2.636,0.836,1.772,2.164
3,11.932,2.62,0.376,1.736,2.624
4,12.256,2.52,0.0,1.688,2.98
