Behaviour,steps,green,red,yellow,other-agent-red
1,14.792,2.52,1.028,1.68,1.972
2,17.488,2.356,0.344,1.532,2.656
3,18.316,2.212,0.248,1.536,2.752
4,18.208,2.172,0.012,1.472,2.98
